AID,clus_ID,clus_start,clus_end,open,dur,locs,radius,inv date,found,species,notes
SF9,C21,6/20/2021 13:00,6/21/2021 4:00,N,15,6,88,6/23/2021,Y,deer,
SF9,C22,6/22/2021 19:00,6/23/2021 4:00,N,9,3,34,6/24/2021,Y,deer,fawn
SF1,C18,6/22/2021 16:00,6/24/2021 4:00,Y,36,13,111,6/27/2021,Y,deer,fawn
SM6,C11,6/23/2021 10:00,6/24/2021 1:00,N,15,6,92,7/1/2021,Y,deer,fawn
SF9,C23,6/24/2021 1:00,6/24/2021 22:00,N,21,8,79,6/25/2021,Y,coyote,pup
SM6,C12,6/26/2021 4:00,6/26/2021 16:00,N,12,4,116,6/28/2021,N,,
SF1,C19,6/27/2021 4:00,6/27/2021 16:00,N,12,5,110,7/3/2021,N,,
SF9,C24,6/28/2021 7:00,6/29/2021 7:00,N,24,9,111,7/1/2021,Y,deer,doe and fawn
SM6,C13,6/28/2021 7:00,6/28/2021 22:00,N,15,3,95,7/4/2021,N,,
SM6,C14,6/29/2021 19:00,6/30/2021 1:00,N,6,3,21,7/2/2021,Y,pig,
SF1,C20,6/30/2021 7:00,7/1/2021 1:00,N,66,12,186,7/3/2021,Y,pig,scavenge
SF9,C25,6/30/2021 10:00,6/30/2021 22:00,N,12,5,58,7/3/2021,Y,deer,fawn
SF1,CXX,7/1/2021 4:00,7/1/2021 22:00,N,42,4,77,7/3/2021,XX,,Same as 20
SF9,C26,7/2/2021 19:00,7/3/2021 1:00,N,6,3,17,7/4/2021,Y,deer,fawn
SF9,C27,7/3/2021 19:00,7/4/2021 1:00,N,6,3,28,7/4/2021,Y,deer,fawn
SF1,C21,7/4/2021 7:00,7/5/2021 7:00,N,24,9,74,7/5/2021,Y,ducklings,
SF9,C28,7/4/2021 22:00,7/5/2021 4:00,N,6,3,30,7/5/2021,Y,deer,fawn
SM6,C15,7/4/2021 22:00,7/5/2021 4:00,N,6,3,34,7/6/2021,Y,pig,
SF9,C29,7/6/2021 19:00,7/7/2021 4:00,N,9,3,13,7/9/2021,Y,deer,fawn
SF1,C22,7/6/2021 4:00,7/8/2021 4:00,N,48,17,123,7/12/2021,Y,deer,fawn
SF1,C23,7/8/2021 22:00,7/9/2021 16:00,N,18,7,112,7/12/2021,N,,
SF9,C30,7/8/2021 22:00,7/9/2021 4:00,N,6,3,35,7/12/2021,Y,coyote,pup
SM6,C16,7/9/2021 22:00,7/11/2021 1:00,N,27,3,48,7/15/2021,Y,pig,scavenge
SF9,C31,7/11/2021 19:00,7/12/2021 4:00,N,9,4,61,7/13/2021,Y,deer,fawn
SF9,C32-1,7/12/2021 16:00,7/13/2021 4:00,N,12,5,127,7/14/2021,Y,deer,fawn
SF1,C24,7/10/2021 19:00,7/11/2021 4:00,N,9,4,19,7/15/2021,Y,deer,fawn
SF1,C25,7/11/2021 7:00,7/14/2021 4:00,N,69,23,74,7/15/2021,Y,deer,fawn
SF9,C32-2,7/14/2021 7:00,7/15/2021 13:00,N,30,10,71,7/16/2021,Y,deer,
SF9,C33,7/15/2021 22:00,7/16/2021 4:00,N,6,3,40,7/21/2021,Y,deer,fawn
SF9,C35,7/16/2021 10:00,7/16/2021 22:00,N,12,5,55,7/22/2021,Y,turkey,
SF1,C26,7/17/2021 4:00,7/18/2021 22:00,N,42,11,124,7/22/2021,Y,deer,
SF9,C34,7/17/2021 16:00,7/18/2021 4:00,N,12,4,81,7/19/2021,Y,deer,fawn
SM6,2P,7/16/2021 1:00,7/16/2021 4:00,N,3,2,21,7/19/2021,Y,pig,
SF1,C27,7/18/2021 1:00,7/19/2021 4:00,N,27,4,95,7/22/2021,Y,deer,same as cluster 26
SM6,C17,7/19/2021 7:00,7/20/2021 22:00,N,39,5,20,7/21/2021,Y,pig,
SF1,C28,7/19/2021 22:00,7/20/2021 22:00,N,24,9,34,7/21/2021,N,,
SF9,C36,7/19/2021 22:00,7/20/2021 22:00,N,24,4,75,7/22/2021,Y,pig,scavenge of SM6 C17
SF9,719day,7/19/2021 7:00,7/19/2021 19:00,N,12,5,30,7/22/2021,Y,turkey,
SF1,C29,7/22/2021 1:00,7/22/2021 7:00,N,6,3,43,7/23/2021,N,,
SF9,C37,7/23/2021 4:00,7/23/2021 19:00,N,15,6,104,7/24/2021,Y,deer,fawn
SF1,C30,7/23/2021 10:00,7/25/2021 22:00,N,60,10,44,7/24/2021,Y,deer,"fawn, set cam"
SF9,C38,7/23/2021 22:00,7/24/2021 7:00,N,9,4,57,7/24/2021,N,,
SF9,C39,7/25/2021 22:00,7/26/2021 4:00,N,6,3,30,7/26/2021,Y,opossum,and bird
SF1,C31,7/23/2021 22:00,7/26/2021 4:00,N,54,3,35,7/27/2021,N,,
SM6,C18,7/24/2021 1:00,7/25/2021 4:00,N,27,3,46,7/27/2021,Y,pig,
SM6,C19,7/26/2021 1:00,7/26/2021 16:00,N,15,4,79,7/27/2021,N,,
SM6,C20,7/27/2021 4:00,7/27/2021 19:00,N,15,6,59,7/29/2021,N,,
SF9,C40,7/27/2021 22:00,7/28/2021 4:00,N,6,3,62,NA,NA,NA,deer bait
SF9,C41,7/30/2021 1:00,7/31/2021 4:00,N,27,5,111,7/31/2021,Y,deer,
SF1,C32,7/30/2021 19:00,7/31/2021 19:00,N,24,9,117,8/2/2021,N,,collected 2 scats
SM6,C21,7/31/2021 1:00,8/1/2021 4:00,N,27,4,28,8/1/2021,Y,deer and pig,neonates
SF9,C42,7/31/2021 10:00,8/1/2021 4:00,N,18,5,36,8/2/2021,N,,collected 3 scats
SF1,2p,7/30/2021 1:00,7/30/2021 4:00,N,3,2,7,8/2/2021,Y,coyote,
SF1,W21-01,10/30/2021 4:00,11/1/2021 1:00,N,48,11,40,11/2/2021,Y,pig,
SF9,W21-01,10/30/2021 22:00,11/1/2021 1:00,N,27,7,74,11/2/2021,Y,deer,
SM6,W21-01,11/1/2021 22:00,11/2/2021 19:00,N,21,5,71,11/4/2021,Y,pig,
SF9,W21-C02.1,11/3/2021 22:00,11/4/2021 7:00,N,9,4,18,11/5/2021,N,,found farrowing nest right at points
SF9,W21-C02.2,11/7/2021 4:00,11/7/2021 22:00,N,18,7,75,11/10/2021,Y,pig,
SF9,W21-03,11/4/2021 10:00,11/7/2021 1:00,N,64,13,158,11/5/2021,Y,deer,
SF1,W21-02,11/5/2021 7:00,11/5/2021 19:00,N,12,5,64,11/7/2021,N,,
SM6,W21-02,11/6/2021 10:00,11/7/2021 9:00,N,24,9,87,11/8/2021,Y,pig,
SF9,W21-C04,11/8/2021 0:00,11/10/2021 21:00,N,69,22,127,11/10/2021,Y,deer,
SF1,W21-03,11/10/2021 18:00,11/14/2021 18:00,N,96,26,100,11/11/2021,Y,pig,
SM6,W21-C03,11/12/2021 9:00,11/12/2021 18:00,N,9,4,13,11/16/2021,N,,
SF1,Den1,,,,,,,11/19/2021,N,,
SF1,Den2,,,,,,,11/19/2021,N,,
SF9,W21-C05,11/16/2021 21:00,11/18/2021 21:00,N,24,10,82,11/18/2021,Y,deer,
SM6,W21-04,11/18/2021 21:00,11/21/2021 3:00,N,54,10,38,11/22/2021,Y,pig,
SF1,W21-04,11/19/2021 9:00,11/20/2021 18:00,N,33,8,117,11/22/2021,Y,deer,same as SF9_W21-06
SF9,W21-06,11/19/2021 9:00,11/20/2021 21:00,N,36,8,61,11/22/2021,Y,deer,same as SF1_W21-04
SF1,W21-05,11/20/2021 9:00,11/25/2021 12:00,N,33,12,79,11/25/2021,Y,SF1 Mort,
SF9,W21-07,11/21/2021 21:00,11/22/2021 3:00,N,6,3,6,11/27/2021,N,,
SF9,W21-08,11/22/2021 21:00,11/23/2021 15:00,N,18,7,34,11/25/2021,Y,deer,
SF9,W21-09,11/26/2021 18:00,11/28/2021 3:00,N,33,8,95,11/30/2021,Y,deer,
SF9,W21-10,11/28/2021 21:00,11/29/2021 3:00,N,6,3,23,11/30/2021,N,,
SM6,W21-05,11/28/2021 21:00,11/30/2021 0:00,N,27,7,17,11/30/2021,Y,pig,
SF9,W21-11,11/29/2021 21:00,11/30/2021 18:00,N,21,5,28,12/1/2021,Y,deer,
SM6,W21-06,12/1/2021 21:00,12/2/2021 18:00,N,21,5,40,12/2/2021,Y,pig,
SF9,W21-12,12/2/2021 21:00,12/3/2021 6:00,N,33,5,111,12/3/2021,Y,pig,same as SF9_W21-13
SF9,W21-13,12/3/2021 18:00,12/4/2021 3:00,N,9,3,88,12/3/2021,,,same as SF9_W21-12
SM6,W21-07,12/4/2021 6:00,12/5/2021 6:00,N,24,9,117,12/16/2021,Y,deer,
SF9,W21-C14,12/10/2021 12:00,12/11/2021 18:00,N,30,6,124,12/7/2021,Y,pig,same as SF9_W21-15
SF9,W21-15,12/11/2021 6:00,12/12/2021 6:00,N,24,5,72,12/17/2021,,,same as SF9_W21-14
SF9,W21-C14/15,12/10/2021 12:00,12/12/2021 6:00,N,42,,124,12/17/2021,Y,pig,
SM6,W21-08,12/12/2021 6:00,12/14/2021 3:00,N,45,9,71,12/16/2021,Y,deer,
SF9,W21-C16,12/13/2021 18:00,12/17/2021 6:00,N,84,28,135,12/17/2021,Y,deer,
SM6,W21-C09,12/15/2021 9:00,12/15/2021 18:00,N,6,3,17,12/18/2021,N,,
SF9,W21-17,12/17/2021 9:00,12/17/2021 18:00,N,9,3,77,,,,"Unlikely kill, just a double back on a day bed"
SF9,W21-C18,12/21/2021 18:00,12/22/2021 3:00,N,9,4,29,12/22/2021,Y,deer,possible scavenge
SM6,W21-C10,12/22/2021 3:00,12/22/2021 9:00,N,6,3,73,12/28/2021,N,,
SF9,W21-C19,12/25/2021 0:00,12/27/2021 6:00,N,54,5,96,1/8/2022,Y,tree squirrel,May not have been why cluster was formed
SF9,W21-C20,12/26/2021 0:00,12/26/2021 12:00,N,12,3,17,12/28/2021,N,,
SF9,W21-C21,12/25/2021 9:00,12/29/2021 21:00,N,108,10,167,1/8/2022,N,,collected scat
SM6,W21-C11,12/30/2021 0:00,12/30/2021 6:00,N,6,3,7,12/31/2021,N,,
SF9,W21-C22,12/30/2021 18:00,1/4/2022 18:00,N,120,34,130,1/4/2021,Y,pig,
SM6,W21-C12,12/31/2021 3:00,12/31/2021 15:00,N,12,5,108,1/3/2022,N,,
SF9,W21-C23,12/31/2021 21:00,1/3/2022 6:00,N,57,6,44,1/4/2021,N,,"simultaneous with C22, found regurgitated pig hair"
SM6,W21-C13,1/1/2022 0:00,1/1/2022 6:00,N,6,3,26,1/3/2022,N,,found possible kill site of small prey
SM6,W21-C14,1/3/2022 18:00,1/5/2022 6:00,N,36,13,95,1/7/2022,Y,pig,
SF9,W21-C24,1/4/2022 21:00,1/5/2022 6:00,N,9,4,38,1/8/2022,N,,
SM6,W21-C15,1/5/2022 21:00,1/6/2022 6:00,N,9,4,29,1/7/2022,N,,
SF9,W21-C25,1/6/2022 6:00,1/7/2022 9:00,N,27,10,131,1/8/2022,N,,
SF9,W21-26,1/7/2022 18:00,1/8/2022 0:00,N,6,3,109,1/8/2022,N,,same as C25
SM6,W21-16,1/11/2022 6:00,1/13/2022 6:00,N,48,10,84,NA,NA,NA,Unable to investigate because cluster was in radiation closure
SF9,W21-C27,1/15/2022 0:00,1/16/2022 6:00,N,30,8,44,1/15/2022,Y,pig,
SM6,W21-C17,1/17/2022 21:00,1/18/2022 21:00,N,24,5,88,1/27/2022,Y,pig,
SF9,W21-C28,1/18/2022 0:00,1/18/2022 6:00,N,6,3,59,1/18/2022,N,,
SM6,W21-C18,1/18/2022 9:00,1/18/2022 18:00,N,9,4,61,1/20/2022,N,,
SM6,W21-C19,1/19/2022 3:00,1/19/2022 15:00,N,12,5,88,1/20/2022,N,,
SF9,W21-C29,1/19/2022 21:00,1/22/2022 6:00,N,57,14,124,1/29/2022,Y,pig,most likely based on smell
SF9,W21-30,1/21/2022 18:00,1/22/2022 0:00,N,6,3,12,NA,NA,NA,Unable to investigate due to private land delay and low priority
SM6,W21-C20,1/22/2022 9:00,1/22/2022 18:00,N,9,4,26,1/24/2022,N,,
SF9,W21-31,1/22/2022 18:00,1/23/2022 3:00,N,9,4,35,NA,NA,NA,Unable to investigate due to private land delay and low priority
SM6,W21-C21,1/23/2022 0:00,1/23/2022 6:00,N,6,3,52,1/25/2022,N,,
SF9,W21-C32,1/23/2022 18:00,1/24/2022 15:00,N,21,7,89,1/26/2022,N,,"found old dead deer, but nothing new/worth scavenging on"
SM6,W21-22,1/24/2022 9:00,1/25/2022 0:00,N,15,5,30,NA,NA,NA,Unable to investigate because cluster was in radiation closure
SM6,W21-2P,1/24/2022 0:00,1/24/2022 6:00,N,6,2,6,1/25/2022,Y,elk,scavenge
SF9,W21-C33,1/27/2022 0:00,1/28/2022 3:00,N,27,6,35,1/29/2022,Y,pig,
SM6,W21-C23,1/30/2022 9:00,1/31/2022 21:00,N,36,9,28,1/31/2022,Y,pig,
SF9,W21-C34,1/29/2022 18:00,1/30/2022 6:00,N,12,5,12,2/1/2022,N,,
SF9,W21-C35,2/1/2022 6:00,2/2/2022 0:00,N,18,3,73,2/2/2022,Y,pig,
SF9,S22-C01,5/1/2022 21:00,5/3/2022 3:00,N,30,11,61,5/12/2022,N,,
SM6,S22-C01,5/2/2022 18:00,5/3/2022 0:00,N,6,3,15,,,,
SF9,S22-C02,5/3/2022 21:00,5/4/2022 3:00,N,6,3,17,5/12/2022,N,,
SM6,S22-C02,5/4/2022 3:00,5/5/2022 18:00,N,39,9,165,,,,
SF9,S22-C03,5/5/2022 21:00,5/6/2022 3:00,N,6,3,28,5/9/2022,Y,deer,fawn
SM6,S22-C03,5/8/2022 21:00,5/9/2022 3:00,N,6,3,52,5/11/2022,N,,
SF9,S22-C04,5/7/2022 4:00,5/13/2022 4:00,N,126,41,178,5/12/2022,Y,deer,adult
SM6,S22-C04,5/12/2022 19:00,5/16/2022 22:00,N,99,9,89,5/25/2022,Y,pig,
SF9,S22-C05,5/13/2022 22:00,5/14/2022 4:00,N,6,3,42,5/15/2022,N,,
SF9,S22-C06,5/17/2022 7:00,5/19/2022 19:00,N,60,21,179,5/18/2022,Y,deer,fawn
SF9,S22-C07,5/19/2022 22:00,5/20/2022 4:00,N,6,3,3,5/20/2022,N,,
SM6,S22-C05,5/20/2022 19:00,5/22/2022 22:00,N,51,8,119,5/24/2022,Y,pig,
SF9,S22-C08,5/23/2022 22:00,5/25/2022 4:00,N,30,11,97,5/24/2022,Y,deer,fawn
SF9,S22-Day523,5/23/2022 10:00,5/23/2022 19:00,N,9,4,83,5/24/2022,Y,ground squirrel,
SM6,S22-C06,5/25/2022 1:00,5/27/2022 4:00,N,51,17,87,5/27/2022,Y,deer,buck
SF9,S22-C09,5/27/2022 10:00,5/29/2022 4:00,N,42,15,92,5/29/2022,Y,deer,fawn
SM6,S22-C07,5/28/2022 4:00,5/28/2022 10:00,N,6,3,22,5/30/2022,N,,
SF9,S22-C10,5/30/2022 22:00,5/31/2022 4:00,N,6,3,30,6/1/2022,N,,
SF9,S22-C11A,5/31/2022 7:00,6/2/2022 10:00,N,51,5,135,NA,,,Same as Cluster 11
SF9,S22-C11,5/31/2022 13:00,6/2/2022 1:00,N,36,11,135,6/1/2022,Y,deer,fawn
SM6,S22-C08,6/3/2022 4:00,6/3/2022 13:00,N,9,4,105,6/5/2022,N,,
SF9,S22-C12,6/3/2022 22:00,6/6/2022 4:00,N,54,11,136,6/5/2022,Y,deer,fawn
SM6,S22-C09,6/4/2022 10:00,6/5/2022 1:00,N,15,6,42,6/7/2022,N,,
SM6,S22-C10,6/6/2022 22:00,6/8/2022 4:00,N,30,11,79,6/8/2022,Y,deer,fawn x2
SF9,S22-C13,6/7/2022 7:00,6/9/2022 4:00,N,45,11,66,6/9/2022,Y,deer,fawn
SF9,S22-C14,6/9/2022 22:00,6/10/2022 4:00,N,6,3,7,6/10/2022,N,,
SM6,S22-C11,6/9/2022 7:00,6/11/2022 22:00,N,63,12,71,6/12/2022,Y,deer,More accurately started 6/10/22 at 7:00. Points before this were just passing thorugh.
SM6,S22-C12,6/9/2022 22:00,6/10/2022 4:00,N,6,3,24,6/12/2022,Y,pig,piglet x2
SF9,S22-C15,6/11/2022 19:00,6/13/2022 19:00,N,48,3,106,6/15/2022,N,,
SF9,S22-C16,6/12/2022 7:00,6/13/2022 4:00,N,21,7,80,6/15/2022,Y,bobcat,possibly cougar kitten
SM6,S22-C13,6/15/2022 16:00,6/16/2022 1:00,N,9,4,39,6/16/2022,Y,deer,fawn
SF9,S22-C17,6/16/2022 10:00,6/17/2022 1:00,N,15,6,58,6/17/2022,Y,pig,neonate
SM6,S22-C14,6/17/2022 4:00,6/17/2022 10:00,N,6,3,19,6/17/2022,N,,
SF9,S22-C18,6/18/2022 7:00,6/19/2022 4:00,N,21,8,86,6/20/2022,Y,deer,fawn
SF9,S22-C19,6/20/2022 19:00,6/22/2022 1:00,N,30,7,78,6/21/2022,Y,deer,Set camera
SF9,S22-C20,6/20/2022 7:00,6/21/2022 22:00,N,39,7,85,NA,,,Same as Cluster 19
SM6,S22-C15,6/23/2022 10:00,6/24/2022 4:00,N,18,7,95,6/29/2022,Y,deer,fawn
SF9,S22-C21,6/23/2022 22:00,6/24/2022 19:00,N,21,3,57,6/30/2022,N,,
SF9,S22-C22,6/25/2022 7:00,6/27/2022 4:00,N,45,13,61,6/29/2022,Y,deer,fawn
SM6,S22-C16,6/27/2022 16:00,6/28/2022 4:00,N,12,5,32,6/29/2022,Y,deer,fawn
SM6,S22-C17,6/29/2022 4:00,6/30/2022 1:00,N,21,3,19,6/30/2022,Y,elk,calf
SF9,S22-C23,6/27/2022 22:00,6/30/2022 22:00,N,72,11,160,7/1/2022,Y,deer,fawn
SF9,S22-C24,7/1/2022 22:00,7/3/2022 19:00,N,45,14,107,7/3/2022,N,,
SM6,S22-C18,7/3/2022 4:00,7/3/2022 19:00,N,15,6,78,7/5/2022,Y,pig,neonate
SF9,S22-C25,7/5/2022 1:00,7/6/2022 4:00,N,27,4,78,7/5/2022,Y,coyote,neonate
SM6,S22-C19,7/5/2022 22:00,7/9/2022 4:00,N,78,22,127,7/10/2022,Y,pig,
SM6,S22-C20,7/11/2022 22:00,7/12/2022 22:00,N,24,4,38,7/13/2022,Y,elk,calf
SF9,S22-C26,7/4/2022 13:00,7/9/2022 10:00,N,117,6,82,7/15/202,Y,Den,Thought it may be a den location. Female had returned to the area again and I heard kitten noises as I approached. So I left the area.
SF9,S22-C27,7/13/2022 22:00,7/14/2022 16:00,N,18,5,127,7/15/202,Y,Den,Thought it may be a den location. Female had returned to the area again and I heard kitten noises as I approached. So I left the area.
SM6,S22-C21,7/13/2022 22:00,7/15/2022 4:00,N,30,6,57,7/16/2021,Y,deer,
SM6,S22-C22,7/18/2022 4:00,7/18/2022 16:00,N,12,5,13,NA,NA,NA,To far off study are to access
SF9,S22-C28,7/19/2022 16:00,7/25/2022 4:00,N,132,18,143,7/21/2022,Y,deer,Doe and fawn
SF9,S22-C29,7/19/2022 19:00,7/20/2022 4:00,N,9,4,113,7/21/2022,Y,deer,
SM6,S22-C23,7/19/2022 22:00,7/20/2022 4:00,N,6,3,19,7/21/2022,Y,deer,
SM6,S22-C24,7/20/2022 22:00,7/21/2022 4:00,N,6,3,29,7/22/2022,Y,pig,Set camera
SF9,W22-10-13,10/13/2022 19:00,10/18/2022 4:00,N,105,29,196,11/6/2022,Y,deer,
SM6,W22 - 10/13,10/13/2022 19:00,10/15/2022 4:00,N,33,12,85,,,,
SM6,W22-10-18,10/18/2022 10:00,10/19/2022 4:00,N,18,6,57,,,,
