Date,Obs,Sample_ID,Species_1,Sp1_%,Species_2,Sp2_%,Species_3,Sp3_%,Species_4,Sp4_%,Notes,Season,Cluster,Method
11/15/2022,MM,36,ODHE,95,PUCO,5,BONE,T,,,Ticks,summer,Y,kill
11/29/2022,MM,28,CALA,95,BONE,5,SUSC,T,,,ticks and coyote nails SF1 S21 C32,summer,Y,kill
12/3/2022,MM,26,BONE,60,ODHE,40,,,,,ticks SF1 S21 C32,summer,Y,kill
11/23/2022,MM,32,ODHE,95,BONE,5,PUCO,T,,,ticks SF9 S21 C28,summer,Y,kill
11/15/2022,RS,51,ODHE,75,BONE,20,,,,,"ticks, odd textured hairs match deer under scope",summer,Y,kill
10/13/2022,MM,SM6 S22 C19,BONE,75,SUSC,25,PUCO,T,,,"unk cartilage, trace veg",summer,Y,kill
5/15/2024,MP,120,ODHE,100,,,,,,,UNK S23 SAN MIGUEL CREEK SCAT,,N,opportunistic
5/15/2024,MP,113,ODHE,100,,,,,,,UNK S23 SCAT,,N,opportunistic
5/15/2024,MP,127,SUSC,100,,,,,,,UNK SCAT S23,,N,opportunistic
10/25/2022,RS,16,ODHE,75,SUSC,10,BONE,15,,,W21-UNK-5,winter,N,opportunistic
11/10/2022,RS,13,ODHE,80,BONE,20,,,,,,winter,N,opportunistic
11/1/2022,MM,18,ODHE,95,BONE,5,PUCO,T,SUSC,T,,winter,N,opportunistic
11/10/2022,RS,20,BONE,75,SUSC,15,ODHE,10,,,,winter,Y,kill
10/27/2022,MM,25,SUSC,95,BONE,5,PUCO,T,,,,winter,Y,kill
11/15/2022,MM,SF9 S21-C42,OTBE,90,BONE,10,,,,,,summer,Y,kill
11/1/2022,RS,SF9 W21 C06,CECA,80,BONE,20,,,,,,winter,Y,kill
11/1/2022,RS,SF9 W21 C21,SUSC,55,BONE,45,PUCO,T,,,,winter,Y,kill
