"V1","V2","V3"
2274.265237,341.8614005,1297.365689
2280.783431,332.897348,1289.148669
2280.295862,332.9884031,1280.76509
2279.678573,336.578342,1274.803839
2277.033199,334.126543,1268.743138
2293.791534,333.5599959,1306.446815
2283.869346,334.6083973,1259.906946
2282.491469,334.6511526,1259.859149
2276.743235,334.9370586,1286.234574
2272.949875,335.6084414,1278.498523
2284.831499,332.2540983,1293.590974
2272.112228,337.6639267,1272.846084
2294.724039,333.6180844,1318.059
2275.004757,337.7073481,1267.882996
2280.71313,332.8424008,1281.482256
2279.121295,337.3987117,1270.074676
2311.062052,339.0342314,1361.698102
2290.068711,332.5655331,1274.458696
2272.232208,339.0908987,1295.989037
2279.795715,333.2677891,1270.560148
2281.994726,332.4532303,1282.638132
2273.714518,336.0172696,1273.217499
2285.535173,338.7257141,1263.597977
2290.009125,336.854961,1352.453316
2278.636142,334.5464243,1293.03561
2280.255726,333.7194687,1265.558608
2275.229617,338.3885195,1270.244636
2274.843887,335.2286796,1272.708718
2278.534308,334.4629675,1304.959493
2280.557622,335.8777291,1259.14402
2284.609521,336.4263571,1260.625429
2278.389102,336.8882496,1281.177956
2278.471812,333.9173479,1277.154187
2276.754831,335.2656491,1273.388402
2272.121081,338.0551462,1272.089002
2293.763087,334.4589901,1275.289748
2271.407816,337.2094555,1281.999369
2275.419379,334.8965396,1288.686348
2282.694239,332.5130723,1272.520818
2277.164191,333.9895044,1279.445396
2273.002056,341.1358756,1321.134165
2294.761473,332.0685779,1330.538532
2273.25193,335.6028328,1275.619901
2274.850837,334.7593607,1281.720314
2289.839821,335.7009375,1267.014405
2278.588581,338.3340586,1262.57804
2297.761946,332.5493428,1312.394503
2281.050183,334.9667049,1259.918808
2286.258045,332.2479431,1269.889615
2283.86964,334.8311943,1259.934561
2284.68892,331.7892791,1288.821427
2284.821054,334.3455978,1326.557923
2277.901953,338.4628159,1266.866586
2275.046352,334.8954946,1281.722816
2285.133741,334.7847859,1260.725512
2277.559241,335.9667024,1268.626575
2285.989969,337.3562146,1262.951547
2279.614435,334.5647414,1263.372937
2282.523585,332.4270239,1290.936317
2280.996192,340.2914274,1277.702706
2280.732228,332.8376949,1280.096081
2284.16432,333.8942625,1261.40301
2279.305407,333.8778615,1272.876304
2269.99583,339.189255,1287.451886
2274.591507,334.6900647,1279.754136
2288.160596,331.9702518,1309.721667
2278.878978,333.6446274,1276.873929
2277.884287,335.002467,1271.21964
2283.201142,334.7434112,1259.93425
2279.086347,333.3619692,1281.135044
2275.905615,337.3513721,1275.721978
2274.998502,335.5124822,1293.233619
2284.130386,332.1364593,1280.584147
2278.97741,333.6430545,1270.925351
2274.46044,335.4740503,1266.645395
2282.297723,335.3414082,1314.206882
2272.387646,336.6094596,1275.956965
2278.229403,335.8185534,1261.081546
2287.24443,334.1167574,1263.192109
2295.259338,335.8356544,1281.037299
2287.949969,334.3849037,1263.969269
2273.350939,335.5257265,1289.064685
2281.312811,335.5241078,1260.012188
2284.66576,334.8535064,1260.057587
2276.882187,335.0782968,1278.340916
2292.32458,331.7276317,1292.44524
2292.968231,333.2378675,1279.210011
2283.837837,334.0872366,1260.808256
2278.130734,334.9318587,1279.986248
2280.950635,340.8794567,1274.122495
2279.843215,333.9419835,1279.232655
2281.886489,332.814434,1271.217072
2273.957175,336.5711877,1265.673706
2278.403413,334.3791603,1265.014779
2274.378179,337.016704,1290.586585
2278.002803,337.9162768,1273.490749
2285.10468,331.9008466,1276.648115
2278.301915,336.7103665,1262.881913
2275.754898,337.741919,1284.044955
2272.253971,336.1627145,1286.931098
2277.538312,336.4633176,1272.411502
2277.869828,334.2899464,1299.336645
2280.117547,333.7384852,1302.223012
2282.694239,333.4467957,1310.343141
2281.255796,333.1115099,1275.371952
2284.646713,338.4944966,1262.011357
2285.593951,332.2215937,1276.272898
2283.747126,332.3080851,1272.563741
2285.14678,332.5780829,1302.650181
2273.605108,339.3168584,1302.192282
2282.379028,336.0630554,1259.697518
2285.961382,331.6451526,1287.14581
2278.683614,337.5000774,1278.925777
2296.330006,334.3676273,1286.694562
2280.386813,338.1196477,1266.238287
2278.187821,333.6824959,1276.832466
2277.144707,336.8130951,1280.44623
2278.82246,333.6154766,1279.587089
2277.693146,336.4262968,1260.969433
2283.073239,338.4783974,1261.857941
2271.414026,336.1823475,1277.467458
2276.792456,335.1402809,1268.070687
2285.089919,331.9750296,1286.868884
2292.200731,331.6374544,1316.804305
2278.423585,335.6398935,1268.296732
2295.126874,333.1983584,1321.903074
2287.915014,334.8727663,1263.108494
2278.735064,343.6316875,1363.197087
2280.95869,334.917095,1263.289944
2277.283118,333.8185424,1283.821212
2280.612525,334.5384644,1261.209059
2279.919521,334.0059105,1284.729482
