"V1","V2","V3"
2311.659529,346.4905011,1382.29231
2308.924043,346.2698878,1366.565248
2306.058856,344.4348723,1361.806966
2311.664204,346.0518022,1376.755552
2302.417772,344.7453397,1343.891198
2302.449299,340.6658492,1377.121382
2311.666339,346.6931919,1382.210225
2305.846646,346.3298523,1360.826111
2305.345758,341.0371145,1368.929732
2310.844088,346.0860052,1379.481131
2309.764019,345.2384313,1381.741972
2301.485437,339.6354725,1361.032501
2311.483705,346.6050064,1373.952332
2311.27835,345.0009615,1382.291575
2311.088111,346.7653782,1372.05486
2301.990907,344.9885868,1379.021801
2311.490479,346.5547172,1375.682785
2311.655658,346.0146139,1379.786971
2311.637752,346.1593636,1376.052859
2310.854032,346.1532415,1381.917368
2309.728975,344.0429418,1382.32323
2311.589228,346.7006239,1377.332316
2311.538347,345.7777626,1382.34699
2311.57818,346.7511819,1376.468643
2295.977486,340.45126,1360.497067
2293.175443,346.2109651,1315.69538
2311.622514,346.6997009,1378.1665
2308.250775,344.6452369,1381.761651
2311.388072,346.4576209,1382.185143
2311.527308,346.3431518,1380.792707
2311.467142,346.3050788,1382.192758
2309.290942,346.5188752,1375.724642
2311.636479,346.5552734,1379.530166
2311.045673,346.7368664,1377.010252
2309.827203,343.4241288,1373.55565
2299.917936,345.5820548,1381.994888
2310.872839,345.7362473,1380.973756
2307.240752,343.179191,1380.216448
2310.559665,346.7650347,1376.534091
2307.540376,342.3896141,1377.2762
2304.292778,341.5426223,1377.491775
2310.297196,346.111816,1382.092578
2311.587291,346.0895061,1377.677732
2307.985932,346.1987754,1377.220978
2310.328518,346.7759753,1381.211734
2308.04723,342.6866946,1379.821192
2309.254945,346.0783775,1371.000937
2310.761698,346.768394,1373.48588
2305.258982,344.4983638,1379.521789
2311.648984,345.6555645,1379.872974
2310.758789,345.6633164,1382.219587
2311.604569,345.9934228,1380.848949
2308.068133,346.2722873,1371.89785
2311.58756,346.41773,1381.477989
2306.280546,345.6950179,1356.758692
2300.514537,342.4346313,1374.427957
2308.679174,343.3645996,1381.097489
